httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.238790449s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1827,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings/chapters/simplified,4383,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8690000965251d8fdb0f,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:32.620337758Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,10515904926798619638,,2024-04-25T16:36:32.375398Z,projects/accesa-playground/traces/3ecaf1c7c3397c63ce85acd4072de583,
1.458691452s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1799,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list,117999,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a868c000d2e0fda4623a0,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:28.959042719Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,2180808869371108171,,2024-04-25T16:36:27.403188Z,projects/accesa-playground/traces/508008739dd2f0acf9e8aee0540fdc8d,
0.004242574s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,833,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list,1134,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a868b00046ce5604e7a9c,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:27.293350520Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,7382660860081795949,,2024-04-25T16:36:27.284210Z,projects/accesa-playground/traces/b79ebf888cde45aada963a96baa2334b,true
0.236650367s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,GET,1827,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-settings/chapters/simplified,4383,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a86790004bd0f77f7f19a,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:09.361375315Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,4891061151110822174,,2024-04-25T16:36:09.072397Z,projects/accesa-playground/traces/1a5f4e0b4598ef0ca8af7538566d3f22,
1.226704126s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,POST,1975,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,40183,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8672000776e066238aa1,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:02.701942524Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,15592784907708866957,,2024-04-25T16:36:01.261173Z,projects/accesa-playground/traces/e874e3dc61e718e2c4a6c6525f254235,
1.271752762s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,POST,1973,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,40183,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8672000760e482a686fb,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:02.701942524Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,3364066367374459635,,2024-04-25T16:36:01.210108Z,projects/accesa-playground/traces/602a32dc87dc6c4008c08b25298a46a7,
1.175769047s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,POST,1918,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,9723,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a86720005a8e23ceb2c31,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:02.701942524Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,2049435967218769452,,2024-04-25T16:36:01.193225Z,projects/accesa-playground/traces/6c921cde0250da45f9278917921d351a,
1.146215404s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,POST,1974,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,12384,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8672000490137415dbb2,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:02.369091498Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,13335551404020301977,,2024-04-25T16:36:01.151061Z,projects/accesa-playground/traces/62dfc6ebd33d9c8f21449ea2b8485c06,
0.004244655s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,860,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1149,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8671000144218d039329,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:01.369114777Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,15907233361828611880,,2024-04-25T16:36:01.077310Z,projects/accesa-playground/traces/cbb6f80b713bcb0f017f1948371007f9,
0.004642632s,HTTP/1.1,https://interview-feedback-fe-gl2nzwfaqq-ey.a.run.app/,91.240.5.97,OPTIONS,876,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1149,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",662a8671000101b700176c04,00f46b9285f82d4f43b9b8a573909284f192c8af996c8552d14d2088e3b592092ae94c4a9a4df7fe63d1255068391777d23786e3f5ff527c18657e8272c07635,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T16:36:01.369114777Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,10877278989211760907,,2024-04-25T16:36:01.059871Z,projects/accesa-playground/traces/f1405f70d2ac7f2748a8f243dabfcd5e,
