httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.834168942s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1888,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,5735,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4e00090ccb0a692570,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:54.913395290Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,3504094822927458316,,2024-04-24T16:58:53.757819Z,projects/accesa-playground/traces/ff83ef0bc7f0a9f5b7f4604e2963db20,
1.021922004s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1889,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,40151,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4e000be8cb2acd43c1,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:54.913395290Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,5234006433644156467,,2024-04-24T16:58:53.757497Z,projects/accesa-playground/traces/adf3da43c3cd2ec6226cdcec007c6c5a,
1.032967391s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1890,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,40151,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4e000c1379a4815c35,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:54.913395290Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,12103829526139159511,,2024-04-24T16:58:53.757235Z,projects/accesa-playground/traces/608cc6d3a8fa46e9136f75d9284f54b9,
0.922581285s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1834,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,9690,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4e000a645d4f886bb0,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:54.913395290Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,14292267792445428485,,2024-04-24T16:58:53.756902Z,projects/accesa-playground/traces/9033c1e07b7d224507ad40dc2bc94c2d,
0.010580722s,HTTP/1.1,http://localhost:4200/,91.240.5.97,OPTIONS,774,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1118,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4d0009055612952f88,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:53.914408962Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,12681218226193572955,,2024-04-24T16:58:53.579128Z,projects/accesa-playground/traces/c52ad5c82003284fbd01fcc7fe33d45c,
0.017959154s,HTTP/1.1,http://localhost:4200/,91.240.5.97,OPTIONS,773,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1118,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4d000920a7e2786b86,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:53.914408962Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,9411379534746615888,,2024-04-24T16:58:53.578692Z,projects/accesa-playground/traces/6ab03de629943a559aa023a5371580db,
0.004404459s,HTTP/1.1,http://localhost:4200/,91.240.5.97,OPTIONS,773,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1117,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4d0008eb0b9610b530,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:53.914408962Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,17581864523461395165,,2024-04-24T16:58:53.578315Z,projects/accesa-playground/traces/7c3782936a2e8d99eb560b8846fa2e74,
0.006795505s,HTTP/1.1,http://localhost:4200/,91.240.5.97,OPTIONS,773,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-list/pageable,1117,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a4d0008d82abd8e89eb,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:53.581981205Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,1594771719767810569,,2024-04-24T16:58:53.570494Z,projects/accesa-playground/traces/77eb4135525f3f4e4b482a7f433857bd,true
0.246364094s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1753,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/template-list/c02f919e-87ad-478e-b0f1-b14e8e5105b6,2229,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a3f0005ea448481141f,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:39.660938158Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,11630575546168324231,,2024-04-24T16:58:39.139731Z,projects/accesa-playground/traces/f7be321c30e74cc78e27031a9f5d514b,
0.020351495s,HTTP/1.1,http://localhost:4200/,91.240.5.97,OPTIONS,801,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/template-list/c02f919e-87ad-478e-b0f1-b14e8e5105b6,1103,216.239.38.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",66293a3e000f254491fe0a93,00f46b92859959f4dc8243df6004f2fec5dfc1361f1580771f3da033f2f56d56171ca9ad7e50b363302830b49fde00d0f203ee1c5d6eeef398d7f79d771026d620ac,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-24T16:58:38.995239951Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,9494491178281919024,,2024-04-24T16:58:38.967330Z,projects/accesa-playground/traces/0da661aa8bb5d6c4cad1c5c3d1736021,true
